uid,sid
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
1,70
1,71
1,0
1,72
1,73
2,11
2,1
2,74
2,70
2,75
2,76
2,76
2,77
2,78
2,79
2,80
2,81
2,82
2,83
2,84
2,85
2,86
2,87
2,88
2,89
2,10
2,90
2,91
2,92
2,93
2,94
2,95
3,96
3,97
3,74
3,84
3,98
3,99
3,100
3,101
3,102
3,70
3,79
3,80
3,76
3,103
3,104
3,105
3,81
3,106
3,107
3,108
3,5
3,109
3,110
3,90
3,111
3,112
3,113
3,114
3,115
3,116
3,117
3,118
3,119
3,120
3,121
3,122
3,46
3,123
3,124
3,125
3,45
3,64
3,126
3,127
3,128
3,129
3,130
3,131
3,132
3,133
3,134
3,135
3,136
3,137
3,138
3,139
3,140
3,141
3,142
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,152
3,153
3,154
3,155
3,156
3,157
3,158
3,159
3,160
3,161
3,162
3,163
3,164
3,165
3,15
3,166
3,167
3,168
3,169
3,170
3,171
3,172
3,173
3,174
3,175
3,60
4,89
4,79
4,80
4,176
4,177
4,178
4,7
4,179
4,180
4,181
4,182
4,183
4,84
4,98
4,184
4,185
4,186
4,187
4,70
4,188
4,189
4,94
4,71
4,190
4,191
4,192
4,193
4,194
4,195
4,196
4,197
4,198
4,5
4,199
4,90
4,200
4,201
4,110
4,202
4,203
5,189
5,178
5,204
5,180
5,76
5,3
5,197
5,205
5,103
5,184
5,203
5,206
5,207
5,6
6,208
6,189
6,198
6,209
6,199
6,76
6,210
6,90
6,211
6,5
6,212
7,213
7,3
7,192
7,214
7,71
7,215
7,70
7,216
7,217
7,218
7,219
7,220
7,221
7,4
7,222
7,223
7,224
7,82
7,76
7,106
7,75
7,225
7,126
7,206
7,226
7,227
7,228
7,229
7,230
7,231
7,232
7,233
7,233
7,234
7,19
7,205
7,235
7,236
7,237
7,199
7,185
7,238
7,195
7,72
7,184
7,83
7,198
7,239
7,68
7,240
7,241
7,242
7,243
7,208
7,244
7,73
7,245
7,246
7,247
7,248
7,112
7,249
7,250
7,251
7,252
7,182
7,253
7,254
7,255
7,256
7,257
7,44
7,258
7,118
7,127
7,0
7,259
7,260
8,89
8,90
8,198
8,184
8,185
8,251
8,261
8,262
8,220
8,86
8,263
8,264
8,15
8,265
8,266
8,267
8,268
8,46
8,182
8,235
8,269
8,114
8,270
8,10
8,91
8,271
8,226
8,272
8,273
8,274
8,194
8,275
8,276
8,277
8,278
8,11
8,279
8,280
8,281
8,240
8,65
8,282
8,283
8,36
8,284
8,285
8,115
8,286
8,287
8,288
8,289
8,13
8,290
8,291
8,292
8,293
8,221
8,294
8,295
8,94
9,89
9,296
9,254
9,297
9,6
9,225
9,298
9,233
9,185
9,299
9,240
9,15
9,300
9,301
9,221
9,302
9,236
9,252
9,303
9,10
9,218
9,244
9,235
9,229
9,304
9,280
9,93
9,290
9,305
9,281
9,306
9,307
9,308
10,105
10,309
10,266
10,310
10,311
10,312
10,313
10,103
10,314
10,315
10,249
10,226
10,282
10,316
10,91
10,236
10,274
10,317
10,318
10,270
10,9
10,319
10,320
10,321
10,261
10,252
10,237
10,36
10,109
10,322
10,221
10,14
10,323
10,195
10,115
10,286
10,303
10,281
10,107
11,2
11,84
11,324
11,222
11,325
11,326
11,257
11,327
11,328
11,244
11,286
11,329
11,281
11,195
11,116
11,330
11,331
11,332
11,332
12,297
12,333
12,5
12,7
12,334
12,288
12,107
12,98
12,335
12,336
12,324
12,251
12,337
12,338
12,339
12,84
12,46
12,340
12,313
12,9
12,239
12,341
12,10
12,342
12,298
12,343
12,254
12,95
12,270
12,321
12,235
12,344
12,93
12,345
12,276
12,291
12,323
12,218
12,109
12,284
12,303
12,346
12,347
12,309
12,348
12,349
12,262
12,350
12,351
12,30
12,279
12,244
12,352
12,17
12,74
12,353
12,354
12,269
12,236
12,355
12,256
12,356
12,281
12,357
12,358
12,289
12,185
12,359
12,360
12,361
12,362
12,363
12,241
12,286
12,245
12,28
12,364
12,365
12,366
12,14
12,367
12,368
12,250
12,20
12,369
12,370
12,103
12,371
12,21
12,31
13,12
13,350
13,372
13,17
13,373
13,374
13,375
13,229
13,376
13,288
13,377
13,378
13,292
13,379
13,380
13,381
13,166
13,382
14,99
14,206
14,225
14,224
14,383
14,98
14,215
14,115
14,384
14,189
14,182
14,243
14,384
14,324
14,385
14,270
14,379
14,386
14,266
14,387
14,239
14,388
14,389
14,88
14,340
14,390
14,103
14,235
14,310
14,256
14,36
14,15
14,391
14,392
14,230
14,327
14,229
14,10
14,303
14,74
14,376
14,351
14,349
14,287
14,30
14,393
14,240
14,13
14,375
14,363
14,394
14,395
14,396
14,397
14,245
14,398
14,399
14,368
14,400
14,401
14,218
14,185
14,253
14,402
14,369
14,403
14,404
14,222
14,405
14,406
14,407
14,408
14,409
14,373
14,410
14,381
14,411
14,234
14,412
14,370
14,413
14,414
14,244
14,119
14,415
14,416
14,416
14,27
14,107
14,34
14,417
14,65
14,124
14,21
14,418
14,419
14,64
14,28
14,195
14,420
14,421
14,422
14,423
14,424
14,41
14,425
14,44
14,426
14,427
14,428
14,429
14,430
14,58
14,431
14,432
14,433
14,131
14,434
14,18
14,435
14,436
14,437
14,438
14,439
14,440
14,441
14,442
14,59
14,443
14,444
14,445
14,150
14,446
14,447
14,448
14,449
14,137
14,450
14,3
14,325
14,451
14,171
14,157
14,452
14,453
14,126
14,173
14,454
14,455
14,456
14,457
14,139
14,110
14,458
14,459
14,42
14,460
14,269
14,461
14,462
14,463
15,464
15,465
15,5
15,71
15,224
15,353
15,466
15,75
15,220
15,262
15,161
15,112
15,215
15,251
15,467
15,273
15,267
15,468
15,98
15,254
15,469
15,182
15,126
15,296
15,115
15,470
15,28
15,110
15,471
15,187
15,233
15,472
15,338
15,473
15,339
15,337
15,474
15,475
15,30
15,84
15,476
15,106
15,189
15,274
15,266
15,477
15,478
15,46
15,81
15,85
15,280
15,249
15,479
15,389
15,229
15,480
15,226
15,218
15,103
15,9
15,311
15,388
15,221
15,250
15,240
15,481
15,269
15,89
15,270
15,315
15,36
15,482
15,253
15,241
15,320
15,239
15,256
15,483
15,303
15,10
15,91
15,237
15,318
15,484
15,485
15,287
15,486
15,487
15,19
15,412
15,373
15,420
15,24
15,488
15,29
15,27
15,489
15,428
15,490
15,491
15,492
15,493
15,494
15,495
15,496
15,497
15,498
15,499
15,500
15,143
15,461
15,501
15,502
15,133
15,430
15,120
15,503
